"ID"	"ControlType"	"ORGANISM"	"miRNA_ID"	"SPOT_ID"	"SPOT_ID_1"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"hsa-miR-223"	"hsa-miR-223"	0	"Homo sapiens"	"hsa-miR-223"	""	NA	11.6955920271429	11.6955920271429	125.184527950472	8.31727044373455e-16	2.11797808456702e-14	24.5704379599272
"hsa-miR-24"	"hsa-miR-24"	0	"Homo sapiens"	"hsa-miR-24"	""	NA	10.3057698542857	10.3057698542857	123.697642761077	9.25389977378464e-16	2.11797808456702e-14	24.5210374415996
"hsa-let-7d"	"hsa-let-7d"	0	"Homo sapiens"	"hsa-let-7d"	""	NA	9.42685812914286	9.42685812914286	123.43776255152	9.42935448608606e-16	2.11797808456702e-14	24.5122709503607
"hsa-miR-17"	"hsa-miR-17"	0	"Homo sapiens"	"hsa-miR-17"	""	NA	9.31217614671429	9.31217614671429	121.678132989151	1.07193650337144e-15	2.23575327846043e-14	24.4518520489608
"hsa-miR-20a"	"hsa-miR-20a"	0	"Homo sapiens"	"hsa-miR-20a"	""	NA	10.1035631407143	10.1035631407143	118.025683079739	1.40725348242996e-15	2.739453445797e-14	24.3202822097729
"hsa-miR-92a"	"hsa-miR-92a"	0	"Homo sapiens"	"hsa-miR-92a"	""	NA	9.20977643171429	9.20977643171429	115.311355446023	1.73223392311377e-15	3.09984673221599e-14	24.2167860991259
"hsa-miR-25"	"hsa-miR-25"	0	"Homo sapiens"	"hsa-miR-25"	""	NA	8.51658584242857	8.51658584242857	114.783330993235	1.80470528930383e-15	3.09984673221599e-14	24.1960562762847
"hsa-let-7f"	"hsa-let-7f"	0	"Homo sapiens"	"hsa-let-7f"	""	NA	10.1178575491429	10.1178575491429	113.737496323515	1.95841246327449e-15	3.17698021820084e-14	24.154405339449
"hsa-miR-151-3p"	"hsa-miR-151-3p"	0	"Homo sapiens"	"hsa-miR-151-3p"	""	NA	8.22028713085714	8.22028713085714	112.496615923052	2.15996950316698e-15	3.31953207855136e-14	24.1039434363617
"hsa-miR-16"	"hsa-miR-16"	0	"Homo sapiens"	"hsa-miR-16"	""	NA	10.6658973871429	10.6658973871429	108.809190960401	2.90865946964438e-15	4.24664282568079e-14	23.9469947849454
"hsa-miR-331-3p"	"hsa-miR-331-3p"	0	"Homo sapiens"	"hsa-miR-331-3p"	""	NA	8.76597863828571	8.76597863828571	108.089291379489	3.08627981851409e-15	4.29139860479102e-14	23.915077949471
"hsa-miR-30d"	"hsa-miR-30d"	0	"Homo sapiens"	"hsa-miR-30d"	""	NA	9.20391493914286	9.20391493914286	105.233702203002	3.91977650810588e-15	5.20261245621325e-14	23.7841317776512
"hsa-miR-425"	"hsa-miR-425"	0	"Homo sapiens"	"hsa-miR-425"	""	NA	8.37871791685714	8.37871791685714	100.97161682533	5.66996119188589e-15	7.19838551317686e-14	23.5749552647341
"hsa-miR-26a"	"hsa-miR-26a"	0	"Homo sapiens"	"hsa-miR-26a"	""	NA	9.80178872785714	9.80178872785714	99.8786323142454	6.24858447435376e-15	7.48500099997902e-14	23.5184848226822
"hsa-miR-324-3p"	"hsa-miR-324-3p"	0	"Homo sapiens"	"hsa-miR-324-3p"	""	NA	7.582615004	7.582615004	99.5965255871317	6.40839126710532e-15	7.48500099997902e-14	23.5037133150789
"hsa-miR-130b"	"hsa-miR-130b"	0	"Homo sapiens"	"hsa-miR-130b"	""	NA	7.81906457257143	7.81906457257143	98.8757804087085	6.83770968294735e-15	7.6792739516178e-14	23.4656024198008
"hsa-miR-185"	"hsa-miR-185"	0	"Homo sapiens"	"hsa-miR-185"	""	NA	9.03914662157143	9.03914662157143	97.770971868499	7.55925726909728e-15	8.17519675028298e-14	23.4061283092042
"hsa-let-7b"	"hsa-let-7b"	0	"Homo sapiens"	"hsa-let-7b"	""	NA	9.62809677571429	9.62809677571429	96.7956087266647	8.26710243975333e-15	8.23963064542668e-14	23.3525365195244
"hsa-miR-486-5p"	"hsa-miR-486-5p"	0	"Homo sapiens"	"hsa-miR-486-5p"	""	NA	7.87420121885714	7.87420121885714	96.5458958290345	8.45996921640027e-15	8.23963064542668e-14	23.338649023117
"hsa-miR-320"	"hsa-miR-320"	0	"Homo sapiens"	"hsa-miR-320"	""	NA	7.77589804871428	7.77589804871429	96.5389895274895	8.46537395078083e-15	8.23963064542668e-14	23.3382639602999
"hsa-miR-126"	"hsa-miR-126"	0	"Homo sapiens"	"hsa-miR-126"	""	NA	10.1545536247143	10.1545536247143	91.9735939507302	1.30458726289626e-14	1.22883703472809e-13	23.0717399213274
"hsa-miR-27a"	"hsa-miR-27a"	0	"Homo sapiens"	"hsa-miR-27a"	""	NA	10.6267363814286	10.6267363814286	91.3700197377568	1.38356294635862e-14	1.26250118855224e-13	23.0346340430216
"hsa-miR-93"	"hsa-miR-93"	0	"Homo sapiens"	"hsa-miR-93"	""	NA	8.35017390157143	8.35017390157143	89.846978686086	1.60755416199864e-14	1.42244186455637e-13	22.938949009916
"hsa-miR-30e*"	"hsa-miR-30e*"	0	"Homo sapiens"	"hsa-miR-30e*"	""	NA	6.764891907	6.764891907	86.7743596666519	2.19310079380746e-14	1.83629193109823e-13	22.7365508817152
"hsa-miR-197"	"hsa-miR-197"	0	"Homo sapiens"	"hsa-miR-197"	""	NA	8.13162189314286	8.13162189314286	86.7392597402268	2.20103484891911e-14	1.83629193109823e-13	22.7341635462763
"hsa-miR-361-5p"	"hsa-miR-361-5p"	0	"Homo sapiens"	"hsa-miR-361-5p"	""	NA	7.52709520871428	7.52709520871429	84.5027816246814	2.77897807564267e-14	2.18331519946006e-13	22.5783770914581
"hsa-miR-28-5p"	"hsa-miR-28-5p"	0	"Homo sapiens"	"hsa-miR-28-5p"	""	NA	7.91825417442857	7.91825417442857	84.4619901805954	2.79097992649224e-14	2.18331519946006e-13	22.5754671686158
"hsa-miR-146a"	"hsa-miR-146a"	0	"Homo sapiens"	"hsa-miR-146a"	""	NA	8.67432290714286	8.67432290714286	84.2930598828557	2.84130060203706e-14	2.18331519946006e-13	22.5633895588777
"hsa-miR-98"	"hsa-miR-98"	0	"Homo sapiens"	"hsa-miR-98"	""	NA	6.98568115485714	6.98568115485714	83.4007790483299	3.12440086791863e-14	2.33751167974994e-13	22.4988757090386
"hsa-miR-106b"	"hsa-miR-106b"	0	"Homo sapiens"	"hsa-miR-106b"	""	NA	9.26302235714286	9.26302235714286	83.1716362694927	3.202070794178e-14	2.33751167974994e-13	22.4821103871238
"hsa-miR-199b-3p"	"hsa-miR-199b-3p"	0	"Homo sapiens"	"hsa-miR-199b-3p"	""	NA	10.1059903137143	10.1059903137143	82.774322154987	3.34188402743187e-14	2.38007350246367e-13	22.4528465433681
"hsa-miR-30b"	"hsa-miR-30b"	0	"Homo sapiens"	"hsa-miR-30b"	""	NA	8.33704086185714	8.33704086185714	81.0826208981173	4.01815440507797e-14	2.79357401495897e-13	22.3254302658279
"hsa-miR-20b"	"hsa-miR-20b"	0	"Homo sapiens"	"hsa-miR-20b"	""	NA	7.905827015	7.905827015	80.4722870043882	4.29844492925215e-14	2.91894399846891e-13	22.278313986334
"hsa-miR-652"	"hsa-miR-652"	0	"Homo sapiens"	"hsa-miR-652"	""	NA	7.22813504685714	7.22813504685714	79.030065836048	5.05127643203413e-14	3.20393320569728e-13	22.1644781954386
"hsa-miR-29a"	"hsa-miR-29a"	0	"Homo sapiens"	"hsa-miR-29a"	""	NA	8.16361150857143	8.16361150857143	79.0188355016578	5.05768648051385e-14	3.20393320569728e-13	22.1635777291289
"hsa-miR-130a"	"hsa-miR-130a"	0	"Homo sapiens"	"hsa-miR-130a"	""	NA	9.719727196	9.719727196	78.95583278476	5.09381526419373e-14	3.20393320569728e-13	22.158521989029
"hsa-miR-221"	"hsa-miR-221"	0	"Homo sapiens"	"hsa-miR-221"	""	NA	8.57528576185714	8.57528576185714	78.6959165908467	5.2459274659523e-14	3.20393320569728e-13	22.1375911961128
"hsa-miR-148b"	"hsa-miR-148b"	0	"Homo sapiens"	"hsa-miR-148b"	""	NA	7.34959168614286	7.34959168614286	78.6610073999031	5.26673951621471e-14	3.20393320569728e-13	22.1347709560854
"hsa-miR-23b"	"hsa-miR-23b"	0	"Homo sapiens"	"hsa-miR-23b"	""	NA	8.756977192	8.756977192	75.5628367305822	7.53814268773548e-14	4.49211768330359e-13	21.8756787068314
"hsa-miR-140-3p"	"hsa-miR-140-3p"	0	"Homo sapiens"	"hsa-miR-140-3p"	""	NA	7.16527040657143	7.16527040657143	75.076299710787	7.98538886556136e-14	4.66346709748783e-13	21.8333557570904
"hsa-miR-324-5p"	"hsa-miR-324-5p"	0	"Homo sapiens"	"hsa-miR-324-5p"	""	NA	7.58498276742857	7.58498276742857	74.5180661181446	8.53525542950225e-14	4.88685212826404e-13	21.7842276870907
"hsa-miR-27b"	"hsa-miR-27b"	0	"Homo sapiens"	"hsa-miR-27b"	""	NA	9.06683369214286	9.06683369214286	74.12782713703	8.94462712193091e-14	5.02275215308428e-13	21.7495185532502
"hsa-miR-181a"	"hsa-miR-181a"	0	"Homo sapiens"	"hsa-miR-181a"	""	NA	7.75806903185714	7.75806903185714	73.058136543836	1.01832080467085e-13	5.61037122573377e-13	21.6528039866144
"hsa-miR-484"	"hsa-miR-484"	0	"Homo sapiens"	"hsa-miR-484"	""	NA	6.691882515	6.691882515	71.8506944589179	1.18156154966255e-13	6.30291926111399e-13	21.5407937614566
"hsa-miR-30c"	"hsa-miR-30c"	0	"Homo sapiens"	"hsa-miR-30c"	""	NA	7.70744413228571	7.70744413228571	71.5284308970316	1.22990996688651e-13	6.30291926111399e-13	21.5103761690593
"hsa-miR-374b"	"hsa-miR-374b"	0	"Homo sapiens"	"hsa-miR-374b"	""	NA	7.688708856	7.688708856	71.5264895465927	1.23020780910143e-13	6.30291926111399e-13	21.510192253367
"hsa-miR-766"	"hsa-miR-766"	0	"Homo sapiens"	"hsa-miR-766"	""	NA	6.74790048157143	6.74790048157143	71.5254692432073	1.23036437631335e-13	6.30291926111399e-13	21.5100955906892
"hsa-miR-200c"	"hsa-miR-200c"	0	"Homo sapiens"	"hsa-miR-200c"	""	NA	5.27419794828571	5.27419794828571	71.2846419953722	1.26794705604504e-13	6.38345759250261e-13	21.4872168391728
"hsa-let-7c"	"hsa-let-7c"	0	"Homo sapiens"	"hsa-let-7c"	""	NA	7.338813329	7.338813329	70.6998601510579	1.36463231788539e-13	6.75377350546669e-13	21.4311358418513
"hsa-miR-128"	"hsa-miR-128"	0	"Homo sapiens"	"hsa-miR-128"	""	NA	6.29661620085714	6.29661620085714	70.3436615673771	1.42752732872973e-13	6.94729966648469e-13	21.3966064898822
"hsa-miR-744"	"hsa-miR-744"	0	"Homo sapiens"	"hsa-miR-744"	""	NA	6.040958437	6.040958437	70.1384956736214	1.46521271181155e-13	7.01380511227824e-13	21.3765895597965
"hsa-miR-140-5p"	"hsa-miR-140-5p"	0	"Homo sapiens"	"hsa-miR-140-5p"	""	NA	8.15859000185714	8.15859000185714	69.9435376662788	1.50205040068462e-13	7.07417285483726e-13	21.3574809007804
"hsa-miR-30a"	"hsa-miR-30a"	0	"Homo sapiens"	"hsa-miR-30a"	""	NA	5.88100734685714	5.88100734685714	68.9704361603932	1.70201024911055e-13	7.88868242444888e-13	21.2608083285227
"hsa-miR-18a"	"hsa-miR-18a"	0	"Homo sapiens"	"hsa-miR-18a"	""	NA	7.36711857971429	7.36711857971429	68.6177954646538	1.78164170555433e-13	8.12874028159163e-13	21.2252346371108
"hsa-miR-486-3p"	"hsa-miR-486-3p"	0	"Homo sapiens"	"hsa-miR-486-3p"	""	NA	4.55388527442857	4.55388527442857	67.3181349348228	2.11298550015512e-13	9.49218101608146e-13	21.0915777775474
"hsa-miR-199a-5p"	"hsa-miR-199a-5p"	0	"Homo sapiens"	"hsa-miR-199a-5p"	""	NA	8.64986503871429	8.64986503871429	67.0398688843537	2.19251137874587e-13	9.70020185748173e-13	21.0624293674242
"hsa-miR-186"	"hsa-miR-186"	0	"Homo sapiens"	"hsa-miR-186"	""	NA	6.15723484342857	6.15723484342857	66.5143458212146	2.3519404542977e-13	1.02502479500735e-12	21.00685834957
"hsa-miR-195"	"hsa-miR-195"	0	"Homo sapiens"	"hsa-miR-195"	""	NA	5.88140164342857	5.88140164342857	66.3636871626846	2.39999300790352e-13	1.02535832231266e-12	20.9907998505179
"hsa-miR-30e"	"hsa-miR-30e"	0	"Homo sapiens"	"hsa-miR-30e"	""	NA	8.30965009985714	8.30965009985714	66.2929333759952	2.42293576162924e-13	1.02535832231266e-12	20.9832385884356
"hsa-miR-106a"	"hsa-miR-106a"	0	"Homo sapiens"	"hsa-miR-106a"	""	NA	5.50402209557143	5.50402209557143	66.107584414939	2.48420189941507e-13	1.03626707804171e-12	20.9633708736521
"hsa-miR-423-5p"	"hsa-miR-423-5p"	0	"Homo sapiens"	"hsa-miR-423-5p"	""	NA	6.37528966628571	6.37528966628571	63.9820740959983	3.32479536378157e-13	1.36738062848481e-12	20.7291737099824
"hsa-miR-15a"	"hsa-miR-15a"	0	"Homo sapiens"	"hsa-miR-15a"	""	NA	9.76647601028571	9.76647601028571	63.3026816669827	3.65686370401426e-13	1.48306139107245e-12	20.6517692321712
"hsa-miR-505"	"hsa-miR-505"	0	"Homo sapiens"	"hsa-miR-505"	""	NA	5.53147982685714	5.53147982685714	62.9939626587204	3.81981083939785e-13	1.52792433575914e-12	20.6161752017166
"hsa-miR-19b"	"hsa-miR-19b"	0	"Homo sapiens"	"hsa-miR-19b"	""	NA	9.95226280442857	9.95226280442857	62.5616653503578	4.06171658112542e-13	1.60273140768733e-12	20.5658842094978
"hsa-miR-155"	"hsa-miR-155"	0	"Homo sapiens"	"hsa-miR-155"	""	NA	5.32173838757143	5.32173838757143	62.0439977774041	4.37407514295363e-13	1.69217854475936e-12	20.5049633069063
"hsa-miR-26b"	"hsa-miR-26b"	0	"Homo sapiens"	"hsa-miR-26b"	""	NA	9.08559465614286	9.08559465614286	61.9960998971416	4.40430032197642e-13	1.69217854475936e-12	20.4992876337863
"hsa-miR-221*"	"hsa-miR-221*"	0	"Homo sapiens"	"hsa-miR-221*"	""	NA	5.56616265828571	5.56616265828571	61.5316592077429	4.70972922115196e-13	1.78602718516412e-12	20.4439082333992
"hsa-miR-330-3p"	"hsa-miR-330-3p"	0	"Homo sapiens"	"hsa-miR-330-3p"	""	NA	5.58054448314286	5.58054448314286	61.1287596966501	4.99383665781135e-13	1.85552404857795e-12	20.3953546989706
"hsa-miR-505*"	"hsa-miR-505*"	0	"Homo sapiens"	"hsa-miR-505*"	""	NA	4.85444756257143	4.85444756257143	61.0928323327697	5.02008218622116e-13	1.85552404857795e-12	20.3910017453696
"hsa-miR-532-5p"	"hsa-miR-532-5p"	0	"Homo sapiens"	"hsa-miR-532-5p"	""	NA	4.75159766114286	4.75159766114286	60.2177286789564	5.70921335079788e-13	2.08386287304123e-12	20.2837772363015
"hsa-miR-22*"	"hsa-miR-22*"	0	"Homo sapiens"	"hsa-miR-22*"	""	NA	5.1089625	5.1089625	58.9975679465635	6.85226111720539e-13	2.47019783484441e-12	20.1303438970694
"hsa-miR-99a"	"hsa-miR-99a"	0	"Homo sapiens"	"hsa-miR-99a"	""	NA	4.85915736828571	4.85915736828571	58.7405644683227	7.12419705050064e-13	2.53690919359291e-12	20.097427231838
"hsa-miR-29c*"	"hsa-miR-29c*"	0	"Homo sapiens"	"hsa-miR-29c*"	""	NA	4.84429014042857	4.84429014042857	58.1610881657503	7.78246638297502e-13	2.73792793232374e-12	20.0224263436312
"hsa-miR-454"	"hsa-miR-454"	0	"Homo sapiens"	"hsa-miR-454"	""	NA	5.91174702457143	5.91174702457143	58.0117988749096	7.96282211700168e-13	2.76802864067201e-12	20.0029264700797
"hsa-miR-362-5p"	"hsa-miR-362-5p"	0	"Homo sapiens"	"hsa-miR-362-5p"	""	NA	5.13211907314286	5.13211907314286	57.8644854642872	8.14535649828954e-13	2.79328697405546e-12	19.9836126713723
"hsa-miR-19b-1*"	"hsa-miR-19b-1*"	0	"Homo sapiens"	"hsa-miR-19b-1*"	""	NA	4.50884860357143	4.50884860357143	57.7999333315953	8.22680410167018e-13	2.79328697405546e-12	19.9751268119934
"hsa-miR-769-5p"	"hsa-miR-769-5p"	0	"Homo sapiens"	"hsa-miR-769-5p"	""	NA	5.12621232728571	5.12621232728571	57.4743344152936	8.65166918047311e-13	2.90377862149212e-12	19.9321129054429
"hsa-miR-223*"	"hsa-miR-223*"	0	"Homo sapiens"	"hsa-miR-223*"	""	NA	5.06184281271429	5.06184281271429	57.2324944461385	8.98303204673825e-13	2.98073336096315e-12	19.8999340223731
"hsa-miR-196b"	"hsa-miR-196b"	0	"Homo sapiens"	"hsa-miR-196b"	""	NA	4.59834151528571	4.59834151528571	56.6780055582902	9.79735570395602e-13	3.21441333208445e-12	19.8254045317581
"hsa-miR-18b"	"hsa-miR-18b"	0	"Homo sapiens"	"hsa-miR-18b"	""	NA	6.40780456057143	6.40780456057143	56.4607341390125	1.01385509387939e-12	3.28939652680869e-12	19.7959126976487
"hsa-miR-148a"	"hsa-miR-148a"	0	"Homo sapiens"	"hsa-miR-148a"	""	NA	7.32251639428572	7.32251639428571	56.2187312230778	1.05342187468537e-12	3.38021085063876e-12	19.7628706551473
"hsa-miR-326"	"hsa-miR-326"	0	"Homo sapiens"	"hsa-miR-326"	""	NA	6.722416068	6.722416068	54.9472757778126	1.29164304543926e-12	4.09956270943767e-12	19.5858582846851
"hsa-miR-125b"	"hsa-miR-125b"	0	"Homo sapiens"	"hsa-miR-125b"	""	NA	4.77229164614286	4.77229164614286	53.0184723044012	1.77593237796829e-12	5.57262598845618e-12	19.3059268416349
"hsa-miR-361-3p"	"hsa-miR-361-3p"	0	"Homo sapiens"	"hsa-miR-361-3p"	""	NA	4.85096521571429	4.85096521571429	52.9585131145782	1.79392754422904e-12	5.57262598845618e-12	19.2969958736334
"hsa-miR-126*"	"hsa-miR-126*"	0	"Homo sapiens"	"hsa-miR-126*"	""	NA	6.466777132	6.466777132	52.8886779435904	1.81514270437787e-12	5.57917547029829e-12	19.2865760320936
"hsa-miR-338-3p"	"hsa-miR-338-3p"	0	"Homo sapiens"	"hsa-miR-338-3p"	""	NA	6.641628045	6.641628045	52.6333718448411	1.89510923580483e-12	5.76429059223968e-12	19.2483186433635
"hsa-miR-142-3p"	"hsa-miR-142-3p"	0	"Homo sapiens"	"hsa-miR-142-3p"	""	NA	10.5235871532857	10.5235871532857	52.4808504954648	1.94474601784941e-12	5.85428698156729e-12	19.2253397499765
"hsa-miR-29c"	"hsa-miR-29c"	0	"Homo sapiens"	"hsa-miR-29c"	""	NA	8.34716140128571	8.34716140128571	52.2038172842869	2.03864375806217e-12	6.07432629953219e-12	19.1833632239652
"hsa-miR-500*"	"hsa-miR-500*"	0	"Homo sapiens"	"hsa-miR-500*"	""	NA	4.27572648128571	4.27572648128571	51.7624048300851	2.19884721664533e-12	6.48548876020642e-12	19.1158368511835
"hsa-miR-584"	"hsa-miR-584"	0	"Homo sapiens"	"hsa-miR-584"	""	NA	6.75393861242857	6.75393861242857	51.4855820963695	2.3064336687527e-12	6.73478631275787e-12	19.0730810821243
"hsa-miR-532-3p"	"hsa-miR-532-3p"	0	"Homo sapiens"	"hsa-miR-532-3p"	""	NA	4.18692827742857	4.18692827742857	51.2865781920381	2.38739083356664e-12	6.84606382207504e-12	19.0421480435464
"hsa-miR-342-3p"	"hsa-miR-342-3p"	0	"Homo sapiens"	"hsa-miR-342-3p"	""	NA	7.98773579442857	7.98773579442857	51.276838763891	2.39143325291662e-12	6.84606382207504e-12	19.0406299081169
"hsa-miR-210"	"hsa-miR-210"	0	"Homo sapiens"	"hsa-miR-210"	""	NA	5.90411585357143	5.90411585357143	50.8344857323696	2.58330916848857e-12	7.32355608930741e-12	18.9712570595784
"hsa-miR-181a-2*"	"hsa-miR-181a-2*"	0	"Homo sapiens"	"hsa-miR-181a-2*"	""	NA	4.32184027542857	4.32184027542857	50.3530292673335	2.81182622500616e-12	7.89474286251729e-12	18.8948044395329
"hsa-miR-142-5p"	"hsa-miR-142-5p"	0	"Homo sapiens"	"hsa-miR-142-5p"	""	NA	7.98174752871429	7.98174752871429	50.1214968172489	2.92965267094667e-12	8.14722457063264e-12	18.8576816242381
"hsa-miR-146b-5p"	"hsa-miR-146b-5p"	0	"Homo sapiens"	"hsa-miR-146b-5p"	""	NA	6.17866608242857	6.17866608242857	49.7500415383065	3.13032402074172e-12	8.59131104817594e-12	18.7976335142966
"hsa-miR-132"	"hsa-miR-132"	0	"Homo sapiens"	"hsa-miR-132"	""	NA	4.21759647871428	4.21759647871429	49.7182683073556	3.1481858977905e-12	8.59131104817594e-12	18.7924688717021
"hsa-miR-340*"	"hsa-miR-340*"	0	"Homo sapiens"	"hsa-miR-340*"	""	NA	6.620484623	6.620484623	49.5719440107625	3.2319201612561e-12	8.7381545100628e-12	18.7686263358836
"hsa-miR-200b"	"hsa-miR-200b"	0	"Homo sapiens"	"hsa-miR-200b"	""	NA	4.22262339785714	4.22262339785714	49.0354474272883	3.56079889173131e-12	9.53902088427103e-12	18.6803855825317
"hsa-miR-16-2*"	"hsa-miR-16-2*"	0	"Homo sapiens"	"hsa-miR-16-2*"	""	NA	4.25998319942857	4.25998319942857	48.8731347931903	3.66750424062339e-12	9.73555671147299e-12	18.6534316644904
"hsa-miR-423-3p"	"hsa-miR-423-3p"	0	"Homo sapiens"	"hsa-miR-423-3p"	""	NA	4.32281201942857	4.32281201942857	48.3929374609746	4.00457838064056e-12	1.05345665508743e-11	18.5729783150147
"hsa-miR-497"	"hsa-miR-497"	0	"Homo sapiens"	"hsa-miR-497"	""	NA	4.94052422671429	4.94052422671429	48.1873854133164	4.15927682618306e-12	1.0843828868263e-11	18.5382112407589
"hsa-miR-181c"	"hsa-miR-181c"	0	"Homo sapiens"	"hsa-miR-181c"	""	NA	5.2321395	5.2321395	48.0271012944154	4.28451989859794e-12	1.10715027468195e-11	18.5109626425136
"hsa-miR-10a"	"hsa-miR-10a"	0	"Homo sapiens"	"hsa-miR-10a"	""	NA	5.40005418485714	5.40005418485714	47.9257536087488	4.36587188384279e-12	1.10865762956631e-11	18.4936704954004
"hsa-miR-550*"	"hsa-miR-550*"	0	"Homo sapiens"	"hsa-miR-550*"	""	NA	4.21074788285714	4.21074788285714	47.9252398734554	4.36628860959336e-12	1.10865762956631e-11	18.4935827163756
"hsa-miR-30b*"	"hsa-miR-30b*"	0	"Homo sapiens"	"hsa-miR-30b*"	""	NA	3.80483206928571	3.80483206928571	47.3077231100203	4.90071845774052e-12	1.23362912901744e-11	18.3871546776292
"hsa-miR-145"	"hsa-miR-145"	0	"Homo sapiens"	"hsa-miR-145"	""	NA	5.45272665985714	5.45272665985714	46.5515091940017	5.65669958768662e-12	1.41175750393546e-11	18.2542815681626
"hsa-miR-328"	"hsa-miR-328"	0	"Homo sapiens"	"hsa-miR-328"	""	NA	6.32530237214286	6.32530237214286	45.6453976646953	6.73834077305533e-12	1.66745381841708e-11	18.0912711237915
"hsa-miR-940"	"hsa-miR-940"	0	"Homo sapiens"	"hsa-miR-940"	""	NA	4.04002162114286	4.04002162114286	45.3529020865779	7.13514201058667e-12	1.75080795553891e-11	18.0377427534283
"hsa-miR-181c*"	"hsa-miR-181c*"	0	"Homo sapiens"	"hsa-miR-181c*"	""	NA	4.92959525628571	4.92959525628571	45.1193910135457	7.47060051400679e-12	1.81784612507499e-11	17.9946844069307
"hsa-miR-625"	"hsa-miR-625"	0	"Homo sapiens"	"hsa-miR-625"	""	NA	7.46905123642857	7.46905123642857	44.7283350851688	8.07236422279359e-12	1.94804161409564e-11	17.9219220277466
"hsa-miR-301a"	"hsa-miR-301a"	0	"Homo sapiens"	"hsa-miR-301a"	""	NA	7.81744689157143	7.81744689157143	44.6861946400332	8.14036321777297e-12	1.94834922917189e-11	17.9140318048487
"hsa-miR-194"	"hsa-miR-194"	0	"Homo sapiens"	"hsa-miR-194"	""	NA	4.528782188	4.528782188	44.5188839881632	8.41669252252506e-12	1.99810911916855e-11	17.8826097294868
"hsa-miR-551b"	"hsa-miR-551b"	0	"Homo sapiens"	"hsa-miR-551b"	""	NA	6.248688667	6.248688667	44.1027764521744	9.15025807834998e-12	2.13821766269953e-11	17.8037948767755
"hsa-miR-421"	"hsa-miR-421"	0	"Homo sapiens"	"hsa-miR-421"	""	NA	3.98732756928571	3.98732756928571	44.1011133615751	9.15332903552882e-12	2.13821766269953e-11	17.8034779461815
"ebv-miR-BART12"	"ebv-miR-BART12"	0	"Human herpesvirus 4"	"ebv-miR-BART12"	""	NA	7.03344153542857	7.03344153542857	44.0025955357927	9.33730605530974e-12	2.16062459399211e-11	17.7846761309967
"hsa-miR-574-3p"	"hsa-miR-574-3p"	0	"Homo sapiens"	"hsa-miR-574-3p"	""	NA	6.89363508128571	6.89363508128571	43.9709682084994	9.39723710400678e-12	2.16062459399211e-11	17.7786286466099
"hsa-miR-502-3p"	"hsa-miR-502-3p"	0	"Homo sapiens"	"hsa-miR-502-3p"	""	NA	3.96618010514286	3.96618010514286	43.6691362276529	9.99119678279748e-12	2.27924176607567e-11	17.7206319690395
"hsa-miR-19a"	"hsa-miR-19a"	0	"Homo sapiens"	"hsa-miR-19a"	""	NA	8.77290345114286	8.77290345114286	43.1903157884973	1.1020955555629e-11	2.49466590871602e-11	17.6275631957854
