	GSM605087	GSM605088	GSM605089	GSM605090	GSM605091	GSM605092	GSM605113
hsa-miR-154	3.970207004	5.825687374	3.860868649	4.870246155	4.240892126	3.876777102	3.923574035
hsa-miR-154*	3.430727057	6.207200731	3.158165699	4.102220135	3.859588007	3.639788995	3.572772513
hsa-miR-155	5.650662952	5.254130342	5.382221839	5.225859571	5.431991249	5.161437517	5.145865243
hsa-miR-15a	9.202984383	9.4288492	9.339454523	9.784698386	10.35977885	10.13142758	10.11813915
hsa-miR-15a*	2.379786846	2.675953916	2.385426956	2.685300034	3.586946391	3.25219454	3.268359082
hsa-miR-15b	10.59102402	10.53827707	10.53426453	10.65953676	11.00023811	10.7767998	10.77412171
hsa-miR-15b*	2.18297013	2.509965049	2.59315549	2.785504948	3.267197308	3.044160467	2.935244205
hsa-miR-16	10.31775051	10.53561535	10.50283217	10.644677	11.01216733	10.81984628	10.82839307
hsa-miR-16-2*	4.123425904	4.160619076	4.135419325	4.09234757	4.587768654	4.430108215	4.290193652
hsa-miR-17	9.234388875	9.262961285	9.228641873	9.205972848	9.581082902	9.34994578	9.322239464
hsa-miR-17*	6.003985828	5.895195908	5.898323513	6.238752268	7.332676549	6.924425555	6.891555773
hsa-miR-181a	8.260159295	7.816513714	7.746754515	7.378683481	7.843091489	7.619149957	7.642130772
hsa-miR-181a*	5.076329397	4.713549142	4.168203575	3.940155548	4.453537666	4.105396596	4.105325715
hsa-miR-181a-2*	4.441571851	4.544286843	4.206817226	4.086960702	4.528170344	4.206738287	4.238336675
hsa-miR-181b	5.751842213	5.243026619	4.727290469	4.505903289	5.163116009	4.874853753	4.62731321
hsa-miR-181c	5.404729329	4.993990874	4.893734369	4.985638802	5.664598028	5.385824454	5.296460644
hsa-miR-181c*	5.088120889	4.551300945	4.667947783	4.735461335	5.341443904	5.029123332	5.093768606
hsa-miR-181d	6.785019122	6.232330131	6.080022436	5.270601814	6.013876512	5.836280417	5.298982146
hsa-miR-182	1.963100123	1.144366102	1.572558137	1.278394513	1.486098971	1.841393721	1.487134676
hsa-miR-185	9.040328736	8.786841631	8.916959425	8.846846518	9.402331692	9.161437902	9.119280447
hsa-miR-186	6.398897717	6.015227459	6.056015568	5.864329795	6.464870195	6.171619174	6.129683996
hsa-miR-186*	1.858037102	1.668444284	NA	1.775635169	2.909803946	2.497288017	2.556878413
hsa-miR-18a	7.235936094	7.076603138	7.057553644	7.337015036	7.826016069	7.534933583	7.501772494
hsa-miR-18b	6.190489571	6.086570161	6.077990806	6.446148299	6.865408164	6.609000126	6.579024797
hsa-miR-191	2.986691529	2.708016867	2.705466867	2.732651753	3.086340507	2.924128855	2.614069138
hsa-miR-192	4.501938514	4.597374881	4.849237305	5.160433659	5.722908402	5.440472096	5.463539389
hsa-miR-194	4.425996868	4.112015835	4.432848068	4.503880263	4.92497573	4.668642514	4.633116038
hsa-miR-195	5.998765331	5.656418293	5.600626934	5.960154462	6.153217683	5.927328612	5.873300189
hsa-miR-196b	4.858617893	4.494742409	4.673548202	4.483144915	4.730003863	4.460889801	4.487443524
hsa-miR-197	8.280574254	8.207028263	8.318061533	7.693034868	8.277894851	8.08868154	8.056077943
hsa-miR-199a-5p	8.223774697	8.391582348	8.443167677	8.449588641	9.190825183	8.937403716	8.912713009
hsa-miR-199b-3p	9.601064023	10.04950381	9.91295757	9.914392873	10.576381	10.34997943	10.33765349
hsa-miR-199b-5p	3.491610743	3.388780612	3.419832661	4.116751638	4.385015912	4.101391342	4.10362305
hsa-miR-19a	8.172192692	8.198180054	8.09256667	8.80496276	9.562235913	9.320198757	9.259987312
hsa-miR-19b	9.453608068	9.551864114	9.445949899	10.00854102	10.56744019	10.33960472	10.29883162
hsa-miR-19b-1*	4.655682676	4.385439554	4.393919385	4.414641442	4.739875889	4.458191062	4.514190217
hsa-miR-200a	2.166968098	2.264466732	2.311465545	2.136250658	2.887122039	2.590946934	2.716024984
hsa-miR-200b	4.283027785	3.970118314	4.210803759	4.060649886	4.543898855	4.250265103	4.239600083
hsa-miR-200c	5.427343626	5.215435633	5.254673686	5.254626678	5.432424219	5.143743264	5.191138532
hsa-miR-204	2.468082582	3.959368317	3.016348295	4.008318155	3.713647674	3.375318733	3.371445828
hsa-miR-20a	9.947135949	9.96183193	9.955031066	10.03581322	10.42337896	10.19203675	10.20971411
hsa-miR-20a*	4.607208108	4.711015584	4.602138595	4.949220777	5.557356879	5.307371256	5.265205158
hsa-miR-20b	7.728992198	7.71265848	7.649001909	7.837349131	8.29575818	8.060776836	8.056252371
hsa-miR-21	11.41871588	11.46802328	11.5180324	11.66631586	11.94928828	11.86604409	11.85468371
hsa-miR-21*	4.523526197	4.325392789	4.390071686	4.63979381	5.358480706	5.053707555	5.045107572
hsa-miR-210	6.106149455	5.247708049	5.964843326	5.869082201	6.210463522	5.968878901	5.961685521
hsa-miR-215	2.924424224	2.929544393	3.122523502	3.554702139	4.146119157	3.903821465	3.844604608
hsa-miR-219-5p	2.429323465	2.602674871	2.884007102	2.98954316	4.245075114	3.968635826	3.993903408
hsa-miR-22	10.54212839	10.56272887	10.53665381	10.57481592	10.97062121	10.75240909	10.76773102
hsa-miR-22*	5.282604565	5.029313106	4.940977916	4.908536121	5.414703872	5.140264918	5.046337002
hsa-miR-221	9.004024439	8.649555651	8.153712282	8.337903833	8.799265056	8.563906916	8.518632156
hsa-miR-221*	5.434590622	5.60589765	5.274828654	5.429915642	5.888916739	5.674967962	5.654021339
hsa-miR-222	5.965677398	5.014069391	4.786858209	4.840771812	5.331423268	5.015483522	5.013325007
hsa-miR-223	11.41274927	11.55521838	11.51159758	11.66077634	11.97931633	11.89369479	11.8557915
hsa-miR-223*	5.240619395	4.949057718	4.822593407	4.877401	5.348254492	5.136068989	5.058904688
hsa-miR-224	5.831612646	6.069191499	4.704245994	5.431444302	6.384708615	6.146714622	6.051510178
hsa-miR-23a	10.43714357	10.23314376	10.19390837	10.21717723	10.58558895	10.38982887	10.3325585
hsa-miR-23a*	2.633506236	2.470351232	2.453966227	2.092595893	2.42263223	2.411986434	2.046636802
hsa-miR-23b	8.943998307	8.939870647	8.270944766	8.382900366	9.09864651	8.862228659	8.800251089
hsa-miR-23b*	2.77457425	2.781721888	2.243141836	2.067315821	2.790520728	2.637735027	2.670853571
hsa-miR-24	10.46193123	10.21731971	10.22833896	10.05275203	10.56277801	10.30183741	10.31543163
hsa-miR-24-1*	4.811501195	5.111553959	4.460125917	4.964696062	6.062339979	5.793687162	5.86413389
hsa-miR-25	8.631623056	8.403294103	8.465282865	8.503538387	8.715830913	8.43012654	8.466405033
hsa-miR-26a	9.923554851	9.478602594	9.59960157	9.649575468	10.16855201	9.917587677	9.875046925
hsa-miR-26a-1*	2.992813017	2.733223999	2.73184485	2.624777282	3.257334709	3.039663031	2.956710741
hsa-miR-26b	8.502794019	8.715753844	8.939718608	8.929866922	9.643498465	9.464695728	9.402835007
hsa-miR-26b*	2.70146859	2.633843763	2.910185278	2.555776647	3.259180566	2.981795608	2.989839948
hsa-miR-27a	10.35703781	10.32547868	10.27498559	10.6613662	11.06141851	10.86184494	10.84502294
hsa-miR-27b	9.068905832	9.178456439	8.480908803	8.781225295	9.484861214	9.227944506	9.245533756
hsa-miR-28-5p	7.690290593	7.819861267	7.843534863	7.706369969	8.297976918	8.020056775	8.049688836
hsa-miR-299-3p	2.902305818	2.933362067	2.580330459	3.699359348	3.003953387	2.792035894	2.830338628
hsa-miR-299-5p	3.595584742	4.044886425	3.585475357	4.884172195	4.290566285	3.938088334	3.884489411
hsa-miR-29a	8.102643947	7.892832994	7.780704178	8.271773356	8.536321081	8.269749263	8.291255741
hsa-miR-29b	6.683155668	6.759975429	6.516287746	7.321300984	8.464766624	8.206187902	8.166647994
hsa-miR-29b-1*	2.848339541	2.699029638	2.497765289	2.689804761	2.810071147	2.557382338	2.588410443
hsa-miR-29c	7.823369782	8.063522648	7.826937826	8.273489726	8.992854536	8.718210554	8.731744737
hsa-miR-29c*	5.039391185	4.781599417	4.66109673	4.67559137	5.094038503	4.803693122	4.854620656
hsa-miR-301a	7.170980711	7.391365912	7.392241034	7.755240265	8.524810109	8.22768011	8.2598101
hsa-miR-301b	4.871426865	4.865054455	5.158411414	5.553660889	5.777361259	5.503960678	5.553904874
hsa-miR-302d*	1.907777986	1.765345334	1.467738394	NA	1.864464553	1.541024159	1.728869366
hsa-miR-30a	6.119752215	5.871424592	5.760323476	5.650919528	6.119501498	5.841092137	5.804037982
hsa-miR-30a*	4.089265016	4.034044159	3.853961596	3.44328897	3.143863444	2.828791819	2.905397197
hsa-miR-30b	8.084898364	8.172164452	8.09181717	8.280936538	8.775645198	8.547464361	8.40635995
hsa-miR-30b*	4.081451807	3.746060507	3.850164623	3.687713775	3.910708141	3.670868221	3.686857411
hsa-miR-30c	7.273911137	7.611718752	7.551018698	7.62822089	8.118248777	7.9084276	7.860563072
hsa-miR-30c-1*	3.157328027	2.733867384	2.839604641	2.745243219	3.139997106	2.80619273	2.805134564
hsa-miR-30d	9.519529501	9.05494425	9.120339075	9.033870461	9.417964112	9.163744449	9.117012726
hsa-miR-30d*	2.875759968	3.036581468	3.171503255	3.368267771	4.059245742	3.735734414	3.739947973
hsa-miR-30e	8.030939848	8.018124846	7.985470742	8.154934114	8.856267753	8.571711679	8.550101717
hsa-miR-30e*	6.669239173	6.704008635	6.62861132	6.697102147	7.037791822	6.812381397	6.805108855
hsa-miR-32	3.666600614	3.799214825	3.779081153	4.436829638	5.813730452	5.565921724	5.531027016
hsa-miR-320	7.988682098	7.928971632	7.736088732	7.717725034	7.854323002	7.613492867	7.592002976
hsa-miR-323-3p	3.594365457	3.840410993	2.964489254	4.32933763	3.240367221	3.006513942	2.98387728
hsa-miR-324-3p	7.671687058	7.517922944	7.590422739	7.39387214	7.798953818	7.539011098	7.566435231
hsa-miR-324-5p	7.315737217	7.373794812	7.395101404	7.505904731	7.987806369	7.741872368	7.774662471
hsa-miR-326	6.415962378	6.51333693	6.334378491	6.64057363	7.236454527	6.968144579	6.948061941
hsa-miR-328	6.007751197	6.35654333	6.395059574	5.599425159	6.701066847	6.609901651	6.607368847
hsa-miR-329	2.872270017	2.825530969	2.521632266	3.609489866	3.028867198	2.826407886	2.667478175
hsa-miR-330-3p	5.868875921	5.548402706	5.484996084	5.270082488	5.826931827	5.517163698	5.547358658
hsa-miR-331-3p	8.583754041	8.779686678	8.732365859	8.611086004	9.057080795	8.789436192	8.808440899
hsa-miR-335	5.475412791	5.099225979	4.907302351	5.43171125	6.241066955	5.990471554	5.895490397
hsa-miR-335*	3.252840441	2.722662913	2.157161554	2.678257438	4.040363448	3.774758941	3.829249907
hsa-miR-337-3p	2.684958972	3.008855782	2.749569552	3.947619853	3.592701648	3.293727235	3.23984248
hsa-miR-337-5p	3.927874701	4.246226957	4.015023539	5.468692852	5.285247324	5.001924128	4.987625931
hsa-miR-338-3p	6.210218478	6.183449677	6.500977309	6.853363505	7.08910136	6.842351317	6.811934669
hsa-miR-339-3p	3.736959843	3.332536598	3.660557137	3.486365394	4.280385582	3.849924172	3.833222193
hsa-miR-33a	5.568542957	5.175239714	5.518869563	6.012014444	7.138835253	6.797241508	6.788124537
hsa-miR-33b	2.483981222	1.791757803	2.221858652	2.291286504	3.53189518	3.294317193	3.269644982
hsa-miR-340	5.607495485	5.622510957	5.497364927	6.128208898	6.865656428	6.605334456	6.535820204
hsa-miR-340*	5.972753074	6.510509797	6.379529141	6.654099684	7.121995311	6.85832446	6.846180894
hsa-miR-342-3p	8.621935116	8.357266194	8.185821127	8.129107188	7.727372102	7.443517388	7.449131446
hsa-miR-342-5p	4.946544673	4.738809073	4.562857498	4.471790782	4.419956852	4.1893259	4.126577779
hsa-miR-34a	5.321389154	5.257781789	5.950830035	5.31843367	4.553894786	4.234215194	4.309160199
hsa-miR-361-3p	5.073234436	4.662948408	4.741918897	4.592538744	5.157329673	4.890664868	4.838121484
hsa-miR-361-5p	7.851766231	7.362448551	7.369197363	7.365047206	7.740090324	7.503477044	7.497639742
hsa-miR-362-3p	2.356419656	2.4238288	2.527862366	3.320124699	4.379005827	4.096946175	4.018539253
hsa-miR-362-5p	5.468857292	4.975429444	5.228136289	4.926927545	5.261394012	5.021205895	5.042883035
hsa-miR-363	5.369870292	6.297617478	6.290551956	6.560003264	7.10384002	6.837010874	6.84007369
hsa-miR-369-5p	2.873739765	4.64876593	2.794344099	4.115332761	3.267848829	2.953096134	2.993194055
hsa-miR-370	2.803081554	2.904258226	3.044765265	4.320996618	3.21943167	3.044341469	3.00326384
hsa-miR-374a	6.623248161	6.82850101	6.849068404	7.337288414	7.956532858	7.701566464	7.604187059
hsa-miR-374b	7.626423997	7.389520716	7.423556504	7.547301241	8.16555696	7.876129793	7.792472781
hsa-miR-376a	5.092583877	6.102674919	5.09612162	6.649844284	6.207484788	5.97990044	5.930910079
hsa-miR-376a*	4.009851829	4.546328474	3.941760432	4.645054141	4.622076466	4.31855288	4.273151617
hsa-miR-376b	2.842482022	3.897893655	2.941254968	4.489468608	4.383534248	4.131945374	4.027871727
hsa-miR-376c	5.907164038	6.589028261	5.856660917	7.40760893	6.962764162	6.719815972	6.665958839
hsa-miR-377	5.562668118	7.400107312	5.284233655	6.829367701	6.359506392	6.074853956	6.0700978
hsa-miR-377*	2.8127525	4.275121872	2.097719723	3.329826685	2.640035423	2.246048603	2.304772698
hsa-miR-378	2.941027905	2.448709361	2.898946005	2.857802651	3.26442264	2.916169451	2.920399706
hsa-miR-378*	3.011221691	2.65108471	2.978265616	2.917473391	3.315595919	3.041532257	2.996936548
hsa-miR-379	5.230070645	5.256281093	4.783575752	5.991089477	5.136780308	4.898018888	4.872468412
hsa-miR-381	5.024919455	5.517035139	4.808004902	5.951207497	5.408498246	5.105278585	5.099976178
hsa-miR-382	4.764427803	5.875239672	3.973031554	4.940312968	4.139748046	3.864247726	3.778996628
hsa-miR-409-3p	5.655110304	7.160457633	5.214185476	6.308604689	5.53183888	5.262000832	5.237839921
hsa-miR-409-5p	3.998774849	5.343300292	3.537367373	4.721565593	3.917251314	3.589141988	3.580079698
hsa-miR-410	5.882321888	7.18036686	5.35719458	6.918922691	6.075872329	5.789479933	5.843999386
hsa-miR-411	2.6892207	3.326736014	2.888642486	4.241299414	3.820968557	3.509779702	3.607894428
hsa-miR-411*	1.202801118	2.052911461	1.256695227	2.789519583	2.164756481	1.71124151	1.586052595
hsa-miR-421	3.808314458	3.82020811	3.83013159	3.898915476	4.338369897	4.128004974	4.08734848
hsa-miR-423-3p	4.511102334	4.170884218	4.21518071	4.072652651	4.635932148	4.362600412	4.291331663
hsa-miR-423-5p	6.684109101	6.308071119	6.323935934	5.943166762	6.619803837	6.429585598	6.318355313
hsa-miR-424	5.363533783	6.319277976	4.531616214	6.325163298	6.937304372	6.686436312	6.641327068
hsa-miR-425	8.562355832	8.170986125	8.225342442	8.328509036	8.626684165	8.356216601	8.380931217
hsa-miR-425*	2.89497227	2.70268919	2.833378036	2.646756189	3.092854447	2.699950823	3.028528548
hsa-miR-431	5.198535705	5.270493858	5.295999683	6.42698995	5.518845501	5.288504376	5.392021712
hsa-miR-432	5.554245579	5.3638429	5.243253816	5.987722555	5.093731796	4.793274988	4.742119481
hsa-miR-433	3.521936045	3.086573391	2.998423649	4.212845858	3.149041171	2.908937237	2.809113497
hsa-miR-449a	2.051551197	NA	2.057471968	2.119056408	2.366554702	2.081950891	2.192827145
hsa-miR-451	8.3375664	9.966105481	9.723295726	10.8099865	9.783470148	9.541929276	9.537649325
hsa-miR-452	3.379425416	3.066381772	NA	2.365569282	3.331053848	3.147053239	3.027666892
hsa-miR-454	5.66851102	5.771786858	5.661309813	5.809693839	6.339770065	6.091619789	6.039537788
hsa-miR-454*	2.859608953	3.275509434	3.248007351	3.347919663	3.998186023	3.667525574	3.568738015
hsa-miR-484	6.742450119	6.48632541	6.425664493	6.614364945	7.052556676	6.848879627	6.672936335
hsa-miR-485-3p	5.228420515	6.761310003	4.700880286	5.454752578	4.831500654	4.579817506	4.527357823
hsa-miR-485-5p	2.888475517	4.350326967	2.403841197	3.208696188	2.306427701	2.072406856	2.086932167
hsa-miR-486-3p	4.527245401	4.47107978	4.583750412	4.534540619	4.649407143	4.590864344	4.520309222
hsa-miR-486-5p	8.073599334	7.62338776	7.936860278	7.845603959	8.048088358	7.782019124	7.809849719
hsa-miR-487a	3.124433269	5.376855867	2.887071875	3.931468706	2.982413977	2.772813697	2.766325399
hsa-miR-487b	5.603000351	5.965464455	5.279939524	6.378770776	5.458495559	5.176432179	5.145801184
hsa-miR-491-5p	2.017093952	2.099768541	1.762627559	2.028642862	2.431743187	2.107828541	1.991912758
hsa-miR-493*	3.861792304	4.227588205	4.09393948	5.049336642	4.521466786	4.310952134	4.206006681
hsa-miR-494	4.185496107	3.431603721	2.655197797	4.566945856	3.310371466	2.826247966	2.912057143
hsa-miR-495	4.545691907	5.555537654	4.628066063	5.635831917	5.315587378	5.129537703	5.058275591
hsa-miR-497	5.301387648	4.598929755	4.679368154	5.061936588	5.17466841	4.866603248	4.900775784
hsa-miR-500*	4.385825659	4.049425645	4.255057946	4.092903524	4.522944431	4.318113251	4.305814913
hsa-miR-501-3p	3.408417917	2.844694244	3.037747156	3.025101737	3.337881224	3.011659755	3.28152381
hsa-miR-502-3p	4.170819374	3.67578155	3.874096814	3.828317431	4.276718895	3.972899831	3.964626841
hsa-miR-502-5p	3.108319613	2.955170662	2.922521591	2.87843412	3.237693654	3.036816634	3.046914812
hsa-miR-503	3.923734161	4.580722768	2.752328615	4.370295594	4.796649681	4.515593339	4.524206304
hsa-miR-505	5.451180074	5.367787457	5.483501489	5.296300334	5.853156048	5.657270713	5.611162673
hsa-miR-505*	4.712193319	4.834741038	4.940198524	4.667938391	5.112060075	4.855290568	4.858711023
hsa-miR-532-3p	4.293322462	4.102935884	4.196085535	3.94786687	4.457398451	4.168576574	4.142312166
hsa-miR-532-5p	4.813735996	4.518252986	4.759580832	4.698214164	5.000281882	4.742032276	4.729085492
hsa-miR-539	3.789084453	3.983234215	3.30558549	4.577815433	3.557086549	3.24017537	3.371335934
hsa-miR-542-3p	1.628053561	2.913176411	NA	3.06671716	3.637199243	3.331529282	3.385768974
hsa-miR-542-5p	2.900553085	3.93823836	2.282291565	3.675082208	3.778509898	3.483563542	3.434393574
hsa-miR-543	4.389623952	5.214457382	3.99203679	4.795451645	4.441459959	4.231192117	4.14760883
hsa-miR-545	3.544541307	3.62488212	3.585106566	4.140316473	5.43992109	5.141183909	5.104028486
hsa-miR-548a-5p	2.13887251	2.287625758	1.882054062	2.241091531	3.280381	3.009132094	3.25895002
hsa-miR-548c-5p	4.645880174	4.691843172	4.130637918	5.116531666	5.703152276	5.436512865	5.387865523
hsa-miR-548d-5p	2.032339452	1.873930679	1.982149775	2.501649044	2.806488816	2.697595743	2.440188185
hsa-miR-550*	4.083879999	4.098215394	4.505293496	4.005045115	4.446546015	4.167599671	4.16865549
hsa-miR-551b	5.610493251	5.836607368	6.204860747	6.303001686	6.772039789	6.489239885	6.524577943
hsa-miR-574-3p	7.089084677	7.243963195	7.533699057	6.167734496	6.995060779	6.668632233	6.557271132
hsa-miR-574-5p	6.562196888	5.54279962	5.394785966	4.927550742	5.12529048	4.89496253	4.698624099
hsa-miR-576-3p	1.867411011	1.198671779	0.997524115	1.61062321	2.084314649	2.021600542	2.121234665
hsa-miR-584	6.904845048	6.336028954	6.462124211	6.360853327	7.282878011	7.011601649	6.919239087
hsa-miR-590-5p	6.598243326	6.942794184	6.977393276	7.40780303	8.356002791	8.085723886	8.096055914
hsa-miR-598	3.942455213	4.015496141	4.197866389	4.631617356	5.474461549	5.278823592	5.259519364
hsa-miR-623	4.839340716	3.686779751	3.710516183	1.970415985	3.650878996	3.474128709	2.443250975
hsa-miR-624*	2.713488719	2.841245704	3.05733524	3.535541777	4.14405018	3.836150092	3.814160972
hsa-miR-625	6.848262142	7.540116887	6.77198481	7.411659002	8.049257822	7.82744423	7.834633762
hsa-miR-625*	2.384763979	2.403895418	2.024582688	2.151312102	2.696820719	2.604702473	2.463734085
hsa-miR-627	4.399167635	4.10965673	4.246646391	4.481044704	5.006158622	4.705730198	4.716550546
hsa-miR-628-3p	3.651805635	2.580860562	3.044608148	3.093285391	3.587483292	3.36842967	3.359774512
hsa-miR-628-5p	4.268682949	4.62623672	4.914028941	4.638875718	5.320758666	5.113498695	5.154216023
hsa-miR-629	3.005984539	2.515201427	2.900992931	2.515549007	3.2217118	2.966977798	2.825596172
hsa-miR-629*	2.53848691	2.70862337	2.728871917	2.339957946	3.187764859	2.863337378	2.792023635
hsa-miR-638	4.074192874	4.924016567	4.181469822	4.217433497	4.622843096	4.44993058	4.418218728
hsa-miR-641	2.137009733	2.618460959	2.270730066	2.696463332	3.11275502	2.765457103	3.026751174
hsa-miR-652	7.506547823	7.009300526	7.022208332	7.081683376	7.487896122	7.253675599	7.23563355
hsa-miR-654-3p	5.15659826	5.626195638	5.02699409	6.307161755	5.659973384	5.423274606	5.360319862
hsa-miR-654-5p	3.473604861	3.753526563	3.153914814	4.170288111	3.378409704	3.134067111	3.200076214
hsa-miR-660	4.567026892	4.725563146	4.794318388	5.08387956	5.641257924	5.391598216	5.390805386
hsa-miR-668	1.793654339	3.883104878	1.631451819	1.614252305	1.915241789	NA	1.597846997
