ID_REF	SAMPLE 1	SAMPLE 2	SAMPLE 3	SAMPLE 4	SAMPLE 5	SAMPLE 6	SAMPLE 7	SAMPLE 8	SAMPLE 9	SAMPLE 10	SAMPLE 11	SAMPLE 12	SAMPLE 13	SAMPLE 14	SAMPLE 15	SAMPLE 16	SAMPLE 17	SAMPLE 18
hsa-miR-15a	24.4347123	22.80733238	24.33211888	23.85722619	23.78465822	24.54572403	24.06906125	24.12672721	23.67565491	24.61428313	23.79070162	24.9902452	25.03757766	23.81039502	23.6246427	23.64569949	25.22112899	25.02504274
hsa-miR-17	24.51141606	23.25836474	24.53132917	24.07323598	23.55170017	24.94737621	24.21882179	24.77339304	23.87423098	25.17623725	23.89593992	24.76634119	24.94896627	23.9371619	24.10735435	23.87203172	24.99907707	24.63284023
hsa-miR-23b	24.05144648	22.52887047	24.02811814	24.00410119	24.35087206	25.0113898	23.70112001	24.28123263	23.23839677	25.45007389	23.93695805	25.15620935	25.54694969	24.31594629	23.67233192	24.29292077	25.35052802	25.2760931
hsa-let-7a	24.21537321	22.96223318	24.76632076	23.95316881	23.94275649	25.63119667	24.53872453	24.47550957	23.67190455	24.64117527	23.51185318	24.491439	27.23034558	23.78632255	23.32610066	23.94033796	25.32565077	25.17475587
hsa-miR-24	24.46404701	22.88680791	24.0828202	23.98790045	24.18309031	24.9069348	23.76745823	24.50810648	23.55508264	25.45541654	23.99821279	25.12849746	25.51180377	24.07169135	23.72561939	24.1529983	25.21585679	25.27031157
hsa-miR-106a	24.56394163	23.43736681	24.567011	24.14168507	23.62092388	25.00867469	24.28544688	24.87506944	23.98796625	25.19546925	24.01446838	24.80881061	24.95217587	24.04853012	24.05751904	23.96374694	25.10744769	24.69159718
hsa-miR-181a	24.66001654	24.67548641	24.9457459	25.24339159	24.12519154	25.20245728	26.22628477	25.6219956	24.58019068	25.16220175	24.08256876	24.44534706	24.96055803	24.18407372	24.43239456	23.806642	25.32304451	24.92214287
hsa-miR-720	25.60270833	23.91186284	25.47058237	25.52176983	25.22727575	25.36706228	24.08413301	25.19412369	25.34442122	25.32417735	24.98944147	25.84114209	25.13270869	24.58207977	23.03827889	24.72534172	25.46919563	25.22166392
hsa-let-7f	24.88075964	23.49495724	24.92384977	24.54399529	24.71481633	25.7172937	24.92851138	25.27158741	24.26141302	25.85568115	24.58383489	25.51235425	25.89180905	24.82529258	24.3598149	24.81123807	25.77181063	25.67620011
hsa-let-7g	25.29747302	23.83466736	25.03101499	24.63550374	24.66054879	25.49662141	25.09144621	25.18442319	24.50516899	25.72498991	24.6734764	25.63933232	25.9120218	24.83829681	24.57392273	24.9107322	25.97083468	25.75725061
hsa-miR-15b	25.16580944	23.59767533	24.8328383	25.03311707	25.04871099	25.88035854	24.77690744	25.2667964	24.21445739	26.11940893	24.75631834	25.75090354	26.03931515	24.88007899	24.5664685	24.95334804	25.97396197	25.92003056
hsa-miR-107	24.74566059	23.59607657	24.95589445	24.6642427	25.44902499	26.09778455	24.57163545	25.06836812	24.25580938	25.96417385	24.59911327	26.42118861	26.79209054	24.99989653	24.21262981	24.99968944	26.03799358	26.05412379
hsa-miR-93	25.6128395	24.33533251	25.64573643	25.27868849	25.00760397	25.99129355	25.53622592	25.84834198	25.05758944	26.18023441	25.11311735	25.93256554	26.12978057	25.22379246	24.99311691	25.06752609	26.32336394	25.91375229
hsa-miR-221	25.68553131	24.03461061	25.45968853	25.07528339	25.72950261	26.34105727	24.69754362	25.80116377	24.98689213	26.79431149	25.27501263	26.74600552	27.08688386	25.51256669	24.92412917	26.03776494	26.85646873	26.85715201
hsa-miR-150	26.09676292	24.81227705	24.79479192	24.7618616	26.46683306	26.72232414	26.60837021	25.63632755	25.03057086	26.30371442	26.10094748	26.10314761	27.57418975	25.79991661	25.10897019	25.96740518	25.9367383	26.79316601
hsa-miR-320a	26.08633512	24.85992606	26.53297841	25.9454377	25.67090889	26.78482267	25.89914573	26.55136908	25.28610392	27.52605396	25.986065	26.53107868	26.90812889	25.9196557	25.85994746	25.89355817	26.86699198	26.5654656
hsa-miR-222	26.74888015	26.00889867	26.20940418	26.04206669	25.27086773	26.28513876	27.1144855	27.0300053	26.15385377	26.88827561	26.14366448	26.59698307	26.49631542	25.94804428	26.42644595	25.90135111	26.6255147	26.48434089
hsa-miR-423-3p	26.33449561	24.91146435	26.74689707	26.00852836	25.96163446	27.13330713	25.98458508	26.60015994	25.66952123	27.07916619	26.01942678	27.10256145	27.22674128	26.17775239	25.90214761	26.12813322	27.13616313	26.99123996
hsa-miR-30e	26.30169832	24.75457528	26.28350688	25.99824117	26.26065989	27.00161177	26.65883837	26.48373939	25.6094558	26.90746736	26.08939121	26.86076006	27.35208471	25.94438496	25.70778084	26.50299032	27.29418324	26.95539361
hsa-miR-142-5p	26.53337494	24.88727541	26.11479383	26.19097089	26.47999257	26.97251583	26.20176443	26.61501385	25.52515029	27.4680421	26.29689116	27.81012166	27.91820527	26.31864794	26.09073058	26.4612665	27.82358807	27.55268141
hsa-miR-191	26.53428221	25.14076922	26.32669217	26.48525385	26.95390876	27.46357826	26.06725675	26.91271464	25.7330179	27.83384254	26.23840875	27.54562948	28.11761218	26.6903289	25.69598681	26.56124961	27.58810833	27.6902844
hsa-miR-484	26.75131497	25.08457135	26.85684167	26.23913215	26.914896	27.66051529	26.0990179	26.80156361	25.8016035	27.48800789	26.69512229	27.81369627	28.31412478	26.60220465	26.00853632	26.82563114	27.81469699	27.95322679
hsa-miR-125a-5p	27.27191906	26.0950659	27.22880954	26.8515768	26.65254547	27.66064329	26.26490108	27.67645439	26.46270514	27.67800741	26.22409034	27.67253374	27.52224575	26.47607659	25.94586102	26.93473638	27.61548572	27.22671529
hsa-miR-185	26.5284315	25.12095021	26.31748541	26.37381307	27.12382226	27.54430589	25.76123259	26.72178106	25.51850001	27.84266695	26.63049621	28.01664468	28.55448876	26.5576797	26.02136735	27.03360556	27.69465206	28.09838532
hsa-let-7c	27.08674054	25.64651596	26.88078403	26.62849521	26.57638894	27.75224643	27.11791863	27.25049479	26.31562118	27.9987886	26.66967054	27.32399309	27.70335885	26.67248124	26.02508366	26.28081496	27.67889862	27.24637282
hsa-miR-151-5p	26.28125286	24.6280439	26.12225936	26.0202315	27.24026223	27.88970297	25.69268367	26.8642164	25.56410353	28.01449658	26.7709465	28.08903615	29.07524342	26.78886887	26.25704601	27.79412353	27.79857499	28.31957658
hsa-miR-26b	26.85393421	25.20795377	26.93250028	26.5855899	27.59919521	27.55495965	26.62384472	26.72623747	25.77205525	27.90459779	26.66166408	27.65863995	28.17996694	27.27708125	25.9341196	26.53639149	28.02799051	27.7635994
hsa-let-7b	27.59185909	26.04584077	27.69259832	27.17350398	26.94315905	27.47445901	27.63105692	27.57852364	26.71044209	28.05609443	26.73034572	27.53290081	27.44419371	26.87954494	26.67844427	26.51124909	27.8522022	27.09741693
hsa-miR-342-3p	27.32072308	26.65629106	26.85957861	26.61420852	27.57301275	27.61262424	27.90751336	26.999847	26.7021883	27.52226091	27.16553829	27.70858023	28.44540295	26.95722445	26.64124603	27.03888716	28.08929514	28.16734363
hsa-miR-106b	27.51839381	26.03892186	27.07692202	27.06896443	26.94496208	27.55705224	27.34347605	27.75069061	26.66439765	28.06269386	26.92141169	27.72302203	27.9847081	27.32010455	26.61588811	26.63083244	28.01882784	27.67150378
hsa-miR-199a-5p	26.53570811	24.92137101	26.43249864	26.34750589	27.03773111	28.18444758	26.17197819	27.15426995	25.5775644	28.67852854	26.99157114	28.55438712	29.54083901	27.30135521	26.69124732	28.48279988	28.20680682	29.06490787
hsa-miR-155	28.08994199	27.798077	28.15824562	27.19380532	26.62543463	27.84983101	28.19783298	28.06323687	27.68644577	27.70198982	27.00662539	27.59356182	27.71510803	26.8830153	27.18245575	26.9710781	28.06950934	27.53151002
hsa-let-7i	27.17012138	25.91866202	27.19495766	27.08774279	27.6605823	27.90535321	27.06949866	27.47020191	26.68939033	28.55652241	27.29355244	28.49467915	28.76953777	27.67549	26.85780746	26.97031847	28.67223816	28.26251092
hsa-miR-425	27.43156607	26.12128767	27.43718194	27.53252195	27.63310934	28.23813112	27.08184859	27.80201478	26.91190266	28.62802596	27.21791173	28.63627204	28.7818047	27.71034788	26.95865256	27.28922452	28.51134883	28.44354129
hsa-miR-29c	27.94504735	26.24503068	27.10571108	26.9361062	27.97221133	27.84020887	27.88710088	27.62886211	26.78492131	28.62219008	27.90065162	28.69676647	28.55380465	27.6013286	26.85591728	27.73167862	28.35225213	28.53172851
hsa-miR-125b	28.48221461	28.15704245	28.39061437	27.48940741	26.28314881	27.83148453	29.10319235	29.2400719	27.95859417	28.89091266	27.27621054	27.47082463	27.37582598	27.73105634	27.86545188	27.38334638	27.94846854	27.60109804
hsa-miR-148b	27.50042088	25.77676215	27.54011393	26.95535502	27.63240904	28.23772805	27.21827748	27.84700459	26.76455817	28.45981666	27.19095772	29.02941026	29.26483835	27.58046019	26.96874521	28.06978691	28.64184047	29.10912026
hsa-miR-424	27.87232468	26.74831734	28.55666383	28.12260538	28.96810919	27.55055467	27.26054734	27.63481163	27.86191268	28.65201597	26.7042754	27.56149158	28.31566169	27.77592879	26.82686412	26.54338506	29.09685268	28.46324856
hsa-miR-140-3p	28.07047399	27.06693757	27.69269414	27.63540322	27.96264439	28.51551959	27.97764855	27.97208558	27.75800146	28.4749049	27.79540927	28.48420235	28.87224679	27.82734598	27.44620469	27.18154537	28.63562259	28.43738379
hsa-miR-196b	29.10426908	27.47431994	28.1546042	27.64155231	27.26756312	28.33070586	29.21454391	28.67503472	28.33589289	28.1151883	27.94781175	28.20105907	28.0148631	27.1346211	28.05307294	27.76104177	28.5329075	27.18472861
hsa-miR-20b	28.5023267	27.65575429	28.24725324	27.99910528	27.32232179	28.71009505	28.135036	28.58018275	27.99294839	28.62340804	27.65609704	28.30445936	28.64460427	27.54802086	27.94748452	27.42200925	28.88017403	28.14283658
hsa-miR-186	28.04297195	26.83380102	27.86775659	27.8405019	27.80913486	28.70204129	27.92830311	28.17895576	27.52159305	29.25634396	27.6969313	28.59249237	28.92175225	27.7978718	27.60456052	27.59786443	28.90686667	28.68319841
hsa-miR-451	28.63797607	26.60457859	27.79722703	27.22241196	29.14446293	27.74972533	27.34901271	29.01272053	27.70698671	29.54624201	27.19679301	29.80310799	28.30117767	26.65013629	27.15045562	29.1537918	27.87738106	27.92413154
hsa-miR-25	28.49604185	27.21625944	28.09790784	28.24511373	27.62067189	28.72091432	28.58456517	28.71524733	27.82998349	29.09761752	27.97819611	28.51521944	28.78835387	27.93712078	27.66199834	27.49136657	28.79177339	28.42901119
hsa-miR-197	28.6109559	27.10479099	28.5744952	28.06305647	28.11684806	29.15557435	28.46030351	28.09760666	27.73580409	28.71839096	28.06587395	28.77578895	29.15955232	27.72639642	27.87182151	27.59331717	29.13179699	29.00110923
hsa-miR-29a	28.628628	27.00384784	27.73795716	27.78839959	28.47449411	28.28966272	28.34181249	28.13052635	27.65402489	29.01450576	27.99540871	29.25837234	29.18527132	28.16146475	27.50063283	27.90311421	28.90789442	28.99212503
hsa-miR-18b	28.55409459	26.66157027	28.29084924	27.81915637	27.93308712	29.0663998	27.47787754	28.449108	27.54145955	28.96630618	27.9767316	29.03201264	29.43028331	27.90478995	27.88439153	27.6555433	29.53057186	29.56554549
hsa-miR-130a	28.22937617	26.65274113	28.42730305	28.00690984	27.73584593	28.77090829	27.63962215	29.00474511	27.46208162	29.53239154	28.05285479	29.17550963	28.97458875	28.62172945	27.85873781	28.14861203	29.03483451	28.70302128
hsa-miR-199a-3p	27.60866699	25.82654841	27.5752847	27.71480089	28.32278828	29.21000828	27.16468688	28.49980852	26.47436336	29.73997461	28.18085373	29.76134165	30.62331888	28.45454925	27.35458272	29.22377827	29.18542877	30.04789545
hsa-miR-374b	28.17049373	26.8449489	27.87267836	28.13581546	28.24445165	29.34881205	27.7878603	28.67352536	27.21232066	29.61618138	28.33410685	29.34140504	29.73801137	28.30950435	27.78144869	28.14767265	29.30635976	29.08384186
hsa-miR-181d	28.43729865	28.49091339	28.83915511	28.67970088	27.85462463	29.08039218	30.09359979	29.44914029	28.60689633	28.89622243	27.97086484	28.05802528	28.25036153	28.29155791	28.15431187	27.2967752	28.67135224	28.74826511
hsa-let-7d	28.24865568	26.91841701	28.20105238	28.33179774	28.63255287	29.01502591	27.99772351	28.88789955	27.58344169	29.48295069	28.24729333	29.54124779	29.8116232	28.35629316	27.69207355	28.10691422	29.29189568	29.35282375
hsa-miR-146a	28.54442319	27.03255277	28.56240349	27.88015616	27.79763398	28.74651316	28.62933319	29.07900859	27.53532429	30.29200743	28.76927692	29.02194072	28.87287645	28.76126175	28.34886852	28.44016937	28.99934081	29.67234169
hsa-miR-99a	29.11917264	28.91768886	28.87186733	28.24250517	27.12042274	28.46443077	29.91300458	29.76697262	28.66461516	29.71105152	28.10629514	28.4840013	28.2075178	28.46411875	28.59996374	28.05592243	28.66191125	28.35311765
hsa-miR-338-3p	28.96060516	27.12562364	28.59466004	28.21368215	28.21614489	28.86555992	28.17311468	29.01789645	27.93586542	28.94729867	27.99722329	29.6219872	29.57131102	28.23542525	27.9247627	27.82863414	29.7618897	29.56219116
hsa-miR-652	28.14396497	26.65109796	28.3017279	28.34334979	28.96280671	29.22493274	27.93919713	28.74838766	27.58102595	29.72619729	28.32035665	29.64409481	29.88142749	28.60127639	27.77680525	28.56628621	29.54009787	30.03372573
hsa-miR-331-3p	28.54336639	26.76044626	28.57541157	28.49071979	28.63866308	29.61487996	27.96137023	28.67995309	27.58865288	29.81663935	28.33417501	29.27915896	29.81534925	28.55956356	28.06150725	28.74792259	29.69499887	29.84658898
hsa-let-7d*	28.74133258	27.49131621	28.80749093	29.10183393	28.75905458	29.0518331	28.66221811	29.16492009	28.27678703	29.68424358	28.67253561	29.70612951	30.05156846	28.73309086	28.10680352	28.54241774	29.6417182	29.61412714
hsa-miR-28-5p	28.89745591	27.17429643	28.80059993	28.62984093	29.0618687	29.64106421	28.21012648	29.02384063	27.90583217	29.70499426	29.20704782	30.00409144	30.52348627	28.91810015	28.53279999	28.93938386	29.82728279	29.98303499
hsa-miR-423-5p	29.13128704	27.71495887	29.12930432	28.98671107	28.94532121	29.78317654	28.86591517	29.46823082	28.54315405	29.97638787	28.84852111	30.00398499	29.8849223	29.11328129	28.93188301	28.85462395	30.04625416	29.82652182
hsa-miR-339-5p	29.15282972	27.33537953	29.12989854	28.76232461	29.5109757	30.06226436	28.84945578	29.49515407	28.73826153	29.817563	28.88753066	30.06717246	30.46420984	29.11112268	28.23762702	29.17558771	29.8519779	29.88679389
hsa-miR-145	28.85647978	27.31607791	28.90297331	28.96650213	29.87692623	30.55067088	27.47166503	29.1644128	27.06083051	29.61666012	29.24369392	31.07022014	31.11415764	28.66179176	28.71638666	30.48796491	29.98327905	30.92786836
hsa-miR-590-5p	29.20730866	27.27453414	28.90816204	28.53346394	28.93380267	29.83712337	28.07725552	29.268848	28.17395282	29.81191943	28.6912554	29.90285149	30.19838229	28.81649561	28.35171764	28.82778018	30.43299817	30.48501881
hsa-miR-181b	29.27503677	29.81502085	29.88460032	30.15036331	28.63580571	29.55903783	30.97749437	30.08487418	29.30324906	29.67009157	28.81511913	28.83986429	29.36048568	28.82786179	28.85119607	27.79743656	29.89102742	29.56020159
hsa-miR-766	29.46415592	27.89285926	29.24414585	29.07376949	28.94643897	30.21309361	28.80614397	29.91243312	28.76987638	30.35294431	29.0798519	29.85795539	30.76590869	29.05812351	28.99038083	29.69930318	29.99877671	30.02051594
hsa-miR-378	29.65000185	29.0949686	29.76516733	29.52399023	28.75198815	29.535169	30.10258665	29.10638521	29.48913504	29.7773108	28.98454071	29.77972302	29.74196152	28.90028241	28.82675454	28.22259755	30.28662857	29.62555559
hsa-miR-18a	29.25292101	27.58148616	29.16877579	28.80128585	28.93675491	30.42953282	28.49495353	29.51078942	28.52214313	30.11012816	28.91212202	30.05497428	30.71640088	28.84396095	28.75871492	29.11554283	30.30451439	30.42729054
hsa-miR-335	29.52431523	27.75224896	29.14315933	28.86937886	28.29016083	30.0677016	29.8481625	30.29312305	28.53194392	30.77371563	29.18495044	29.78578196	29.65983688	29.61918779	28.99046135	29.34402972	30.28181695	30.00470983
hsa-miR-99b	29.1724885	28.10497825	29.30532336	28.96053554	29.36102608	30.33905126	28.28698114	30.04572078	28.7763745	30.75796073	28.60021131	29.95035003	30.69669936	29.49322254	28.26307712	29.83938483	30.17718642	31.02073745
hsa-miR-326	29.1864406	27.54978508	28.54651181	28.84909835	29.61811521	30.13718825	28.6070437	29.55285575	28.1335221	30.61915583	29.05383576	31.26748452	30.88192109	29.42376444	29.11717779	30.06657097	30.4460699	30.70548556
hsa-miR-140-5p	29.7572633	28.06671832	29.60776651	29.4279548	29.64297568	29.68964679	29.34860731	29.79883352	29.16704397	30.05018498	29.21036656	30.01783371	30.08367406	29.26550982	28.70640355	28.53565944	30.44682854	30.19922291
hsa-miR-328	29.58382115	28.09315245	29.43768008	29.19325018	29.48901894	30.51584969	28.85401118	30.23425042	28.72838347	30.5514663	29.30787621	30.26846525	30.76861974	29.74163383	28.91310517	29.67983856	30.43501171	30.52769044
hsa-let-7e	29.62696581	28.285194	30.10171067	28.93762136	29.36066703	30.49868885	29.11940055	30.22511732	28.64430273	30.89321496	29.54670561	30.11543582	30.60541269	29.05400109	28.31694311	29.91592971	30.70661013	30.32712395
hsa-miR-486-5p	29.24938321	27.81220729	29.03129589	29.00002196	30.06648087	30.83859799	27.89402813	29.75537649	28.23822971	31.02962105	29.47005572	31.24662503	31.46267387	29.57183131	28.84812426	31.17427332	30.46921102	30.78866578
hsa-miR-29b	29.97003459	27.83459545	29.27648856	28.59651204	29.89599419	30.03818445	29.22213476	29.2603979	28.4255677	30.52812195	28.99629761	30.32221127	31.10921591	29.47290486	28.59401398	29.25568633	30.55520863	32.77359311
hsa-miR-30e*	29.77795656	28.31057522	29.74690528	29.46401046	29.85192355	30.72828439	29.74077717	30.05098488	28.81816717	30.7294187	29.32224807	30.45083446	30.61697439	29.4755511	29.33014767	29.3019809	30.67788671	30.45079947
hsa-miR-30a	30.1058437	27.90540983	29.21456418	30.11933847	30.85280896	30.99369362	29.18639266	29.19942277	28.64938751	31.94346759	29.60593268	30.1371025	31.46973208	29.55865161	28.81369017	29.12368216	31.0476495	30.54342827
hsa-miR-22	29.52459386	27.80587956	28.90782372	29.7281013	30.31177886	30.24902262	29.01313761	29.68211006	28.42651452	30.97709678	29.81281009	31.67986137	32.21410663	29.78329223	28.93850706	30.28370364	31.07791502	31.65926593
hsa-miR-301a	29.92162427	28.01255665	28.91970782	29.82230227	30.72812724	30.96454438	29.6732792	29.34531495	28.81223326	31.51504192	28.85751049	30.58524853	31.52847026	28.80543673	28.92139273	29.95496751	30.97870713	31.55694265
hsa-miR-146b-5p	30.2506256	30.33671302	30.21306728	30.10246449	29.94506096	30.30504347	30.20901779	30.74772625	29.59684216	31.45503896	29.4689595	30.64794156	29.77911084	29.93002673	29.56644913	29.1999626	30.18399527	30.26575681
hsa-miR-363	30.65950792	30.09500025	30.64125711	30.6260171	29.77285201	30.49247995	31.20791201	30.85525498	30.50237934	31.61323835	30.30587772	30.7480007	30.67784276	30.20987054	29.93036709	29.6776655	31.14351311	30.2138602
hsa-miR-425*	30.15895317	29.01814424	29.87758931	30.2970249	30.76154321	31.0454457	29.68496545	30.85498914	29.79079422	31.2381421	30.03087754	30.93825416	31.7848879	30.55005496	29.63122319	30.12972356	31.69265346	31.34626088
hsa-miR-10b	30.91383848	31.0674398	30.30429684	31.21757696	29.99379995	31.21714892	31.44821341	31.93745764	30.80552362	31.28994313	30.18401245	30.78181012	30.47334219	30.04688148	30.74282157	29.19986184	30.56434365	29.82274088
hsa-miR-376a	29.49316384	27.77090427	28.33682078	30.26745434	33.11482309	31.33277864	28.10193436	32.23928069	27.08504498	33.19412147	30.02636365	32.81337889	32.12150826	32.18923256	29.36190402	32.5067282	31.18804992	30.99753402
hsa-miR-152	30.31549639	28.94358787	29.09173014	29.8040864	30.49547765	31.51283552	29.74253734	30.22130974	29.25120042	31.94442377	30.79184386	31.85258628	32.17932189	30.73743529	29.68001016	31.26086387	31.49334197	31.93931779
hsa-miR-133a	30.50696856	29.74742084	29.66716131	29.83728281	32.15561591	29.45764173	29.69276249	31.24305086	29.09745195	32.60593713	30.95414076	32.42069669	31.4940106	30.96451756	30.76967734	31.96350779	31.02467593	29.93650935
hsa-miR-361-3p	30.78931114	29.93264602	30.17112127	30.44584051	30.7552023	30.65487736	30.74500944	30.80352501	30.07147245	31.00842131	30.61946478	31.61170461	31.17713741	30.25583084	30.98207272	30.24247867	31.01430047	31.61624533
hsa-miR-22*	30.4932664	28.79570706	30.59336067	30.53870949	30.86223238	31.14123485	29.49755718	30.61942479	29.53471001	31.61448282	30.45091917	31.98980476	33.30558187	30.15372407	30.28227579	31.8452094	31.5409485	31.99808633
hsa-miR-181c	30.78019102	30.29586483	30.92421442	31.17788927	29.94233264	30.94156231	32.00340474	31.67420039	30.82619109	31.90662887	30.31236363	31.19018354	30.82856588	30.45361216	30.90369746	29.84301373	31.04666106	30.58573463
hsa-miR-376c	30.0440159	28.02373929	28.86947057	30.49771747	32.49283158	31.74555004	28.34702299	32.63166668	27.6487361	33.47735624	30.43184463	32.94099039	32.75912231	32.56283386	29.73732599	32.96138783	31.64744632	31.49394463
hsa-miR-505	31.08889755	29.83025246	30.70770086	31.4373629	30.96400535	31.47271775	30.891459	31.22296805	30.340436	31.96905458	30.8397727	31.91500009	31.96644701	30.56026294	30.26563186	30.42242462	31.81527951	31.68750433
hsa-miR-34a	32.47449475	30.82322436	31.29846574	31.76443303	31.00479144	31.44818593	30.59967588	31.08157244	31.68915899	31.0069852	31.24422579	31.58081764	31.82520106	30.21545046	30.82112995	29.7823675	32.04156262	30.2564629
hsa-miR-18a*	31.99025103	30.69692199	32.13398796	31.11054751	30.55220621	31.65133318	31.17716359	32.00315631	30.92764253	32.01734685	30.83765835	30.86141525	32.19385773	31.06866148	30.98369154	30.45774782	31.55969248	31.30818125
hsa-miR-199b-5p	31.420413	30.61638429	31.75935451	31.76836675	30.99781213	31.67194648	31.08146339	31.82063309	30.74879926	31.96098149	30.7778099	31.56709399	31.84067638	30.80752016	30.46126718	30.28502514	31.71157071	30.93305874
hsa-miR-127-3p	30.88807011	29.23455021	30.52269755	30.99005329	33.53462207	32.20770227	28.55064508	32.56668911	28.70873717	34.64425085	30.98836157	32.89750901	33.29237626	32.45422831	30.5658391	33.82510619	31.61229955	32.02747987
hsa-miR-181a*	31.10255703	31.68347027	31.86114457	33.02449937	31.00261131	31.89871257	32.96084991	31.87073345	31.52738997	32.57229547	30.88537038	30.67152946	31.60475911	31.13861102	31.52615949	30.72407261	32.54461494	31.98863462
hsa-miR-1	32.24304831	30.50750724	30.76933313	30.48274102	32.98785933	30.46651995	30.77051932	31.73567598	29.77454583	34.01375008	31.46494093	34.68897499	32.32101458	32.37960636	32.39408455	33.72591056	32.06211412	31.68529463
hsa-miR-503	31.46456001	30.16922129	31.96285695	32.66848225	32.95069938	32.18553081	29.85827692	31.95027745	31.81891563	33.46264052	31.26029937	32.61338497	33.70278679	31.84063225	31.23372955	31.62275343	33.79165622	32.15519083
hsa-miR-133b	31.96072571	31.2850193	31.19334781	31.32701703	33.12993343	31.17429232	31.35165587	32.01854678	30.43746444	32.93629869	32.59081672	34.55382138	32.72111776	32.86122998	32.1060011	33.02767867	32.30150062	31.33988387
hsa-miR-195	32.98520683	29.70263971	31.8461201	31.54022438	33.32493474	32.09373808	31.81314138	32.16090054	31.3128284	32.67540152	31.57098634	32.33342157	33.44123195	31.92311044	31.11040165	31.79810029	33.28538526	32.671028
hsa-miR-154	31.34433665	29.27878458	29.56862244	31.57809085	33.53941237	32.46107787	29.78887658	33.72577715	29.20447742	33.4388708	31.57984867	34.69243467	34.78747714	33.22127736	31.42273244	34.48289338	32.02805542	32.20640437
